ask_price: 70698000.0, bid_price: 70650000.0, ask_size: 0.75586859, bid_size: 0.18556592
ask_price: 70716000.0, bid_price: 70650000.0, ask_size: 0.02604697, bid_size: 0.14885092
ask_price: 70716000.0, bid_price: 70650000.0, ask_size: 0.02604697, bid_size: 0.14275092
ask_price: 70716000.0, bid_price: 70650000.0, ask_size: 0.62256956, bid_size: 0.14275092
ask_price: 70716000.0, bid_price: 70650000.0, ask_size: 0.62256956, bid_size: 0.14275092
ask_price: 70716000.0, bid_price: 70685000.0, ask_size: 0.02256956, bid_size: 0.06204116
ask_price: 70716000.0, bid_price: 70685000.0, ask_size: 0.02256956, bid_size: 0.06204116
ask_price: 70716000.0, bid_price: 70685000.0, ask_size: 0.02115546, bid_size: 0.05248702
ask_price: 70685000.0, bid_price: 70650000.0, ask_size: 0.00841307, bid_size: 0.17575968
ask_price: 70685000.0, bid_price: 70650000.0, ask_size: 0.00841307, bid_size: 0.17575968
ask_price: 70685000.0, bid_price: 70650000.0, ask_size: 0.00841307, bid_size: 0.17575968
ask_price: 70717000.0, bid_price: 70650000.0, ask_size: 0.01531521, bid_size: 0.18308443
ask_price: 70717000.0, bid_price: 70650000.0, ask_size: 0.01531521, bid_size: 0.17353029
ask_price: 70749000.0, bid_price: 70685000.0, ask_size: 0.59220502, bid_size: 0.0056589
ask_price: 70749000.0, bid_price: 70650000.0, ask_size: 0.59220502, bid_size: 0.16963505
ask_price: 70714000.0, bid_price: 70685000.0, ask_size: 0.00707044, bid_size: 0.00070704
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.14187312, bid_size: 0.20324004
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.14187312, bid_size: 0.20324004
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.14187312, bid_size: 0.20366447
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.14187312, bid_size: 0.20366447
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.13457293, bid_size: 0.19411033
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.13457293, bid_size: 0.18597161
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.13457293, bid_size: 0.17641747
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.13457293, bid_size: 0.1771253
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.13457293, bid_size: 0.1771253
ask_price: 70713000.0, bid_price: 70650000.0, ask_size: 0.11142867, bid_size: 0.05297116
ask_price: 70685000.0, bid_price: 70650000.0, ask_size: 0.00431028, bid_size: 0.04341702
ask_price: 70685000.0, bid_price: 70650000.0, ask_size: 0.00431028, bid_size: 0.03721762
ask_price: 70685000.0, bid_price: 70650000.0, ask_size: 0.00431028, bid_size: 0.03721762
ask_price: 70708000.0, bid_price: 70650000.0, ask_size: 0.57741747, bid_size: 0.03721762
ask_price: 70709000.0, bid_price: 70651000.0, ask_size: 0.35412047, bid_size: 0.00717785
ask_price: 70708000.0, bid_price: 70651000.0, ask_size: 0.6, bid_size: 0.00717785
ask_price: 70709000.0, bid_price: 70651000.0, ask_size: 0.353316, bid_size: 0.00717785
ask_price: 70709000.0, bid_price: 70651000.0, ask_size: 0.353316, bid_size: 0.00717785
ask_price: 70651000.0, bid_price: 70650000.0, ask_size: 0.00215492, bid_size: 0.0513719
ask_price: 70651000.0, bid_price: 70650000.0, ask_size: 0.00215492, bid_size: 0.0513719
